Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
DIVISLAB,5999.0,-0.26,0.25,39.6,-25.6494,6139.91,6213.86,19.9,78.0,149.82,7039.45,False,,True,False,False,-0.05,False,5935.0,6223.73,3.51,14.0
INDIANB,884.25,-2.73,0.13,47.5,-3.7044,896.09,891.54,23.9,20.1,33.94,1000.0,False,,False,True,False,-0.78,False,879.15,935.16,9.98,13.0
UNIONBANK,174.84,-3.04,0.25,45.3,-1.0226,179.64,178.09,21.6,15.6,6.93,205.49,False,,False,True,False,-0.89,False,174.09,185.24,13.87,13.0
AXISBANK,1205.9,-1.33,0.17,39.5,-5.4999,1251.95,1282.15,27.2,33.9,34.07,1418.3,False,,False,False,False,-1.03,False,1202.0,1257.0,13.1,10.0
ADANIENT,1863.5,-1.22,0.11,34.9,-12.403,1975.22,2072.54,34.1,28.9,65.8,2695.0,False,,False,False,False,-0.35,False,1855.5,1962.2,12.34,10.0
BAJFINANCE,859.35,-2.65,0.14,40.5,-2.1461,892.69,934.04,31.1,21.4,30.89,1102.5,False,,False,False,False,-0.88,False,855.05,905.68,10.77,10.0
KOTAKBANK,364.9,-1.67,0.09,35.0,-0.6622,381.69,399.62,39.6,11.2,9.68,459.85,False,,False,False,False,-0.96,False,364.4,379.42,29.04,10.0
LT,3564.9,-2.31,0.11,41.8,-7.8467,3699.0,3863.89,33.1,16.5,133.59,4440.0,False,,False,False,False,-0.25,False,3550.1,3765.28,13.54,10.0
SBIN,1043.0,-1.66,0.13,38.1,-7.5072,1085.03,1087.48,39.1,26.8,30.46,1234.7,False,,False,False,False,-0.88,False,1038.5,1088.7,10.16,10.0
ULTRACEMCO,11006.0,-1.77,0.14,41.9,-13.3562,11391.3,11855.1,46.6,17.6,347.64,13110.0,False,,False,False,False,-0.27,False,10970.0,11527.45,14.48,10.0
