Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Stop_Loss,Target,RR_Ratio,BTST_Score
META,579.23,1.24,1.14,42.4,-4.0321,596.86,624.83,26.4,28.5,20.95,794.38,False,,False,True,True,False,True,1.56,True,True,573.92,610.65,5.92,29.8
ADBE,241.37,-0.7,0.67,38.4,-0.1326,250.08,268.06,37.6,75.0,9.0,422.95,False,,False,False,False,False,False,-0.46,True,True,235.04,254.86,2.13,29.0
VZ,49.39,-1.61,0.92,47.5,-0.3038,50.05,48.05,29.7,22.0,0.98,51.68,True,,False,True,False,True,False,-0.26,True,True,49.17,50.86,6.68,28.1
UNH,273.98,1.25,0.51,46.4,-0.2771,275.44,287.09,30.9,71.0,7.99,589.73,False,,False,False,True,False,True,1.34,True,True,270.76,285.96,3.72,28.0
ADP,201.28,-0.94,0.59,37.3,0.0957,208.19,219.48,25.2,57.1,6.07,321.84,False,,False,True,False,False,False,0.08,True,True,197.08,210.38,2.17,25.9
QCOM,127.28,-1.16,0.6,35.1,0.2922,131.5,139.73,34.0,9.2,3.83,203.6,False,,False,True,False,False,False,-0.39,True,True,126.98,133.02,19.13,25.9
DHR,190.79,0.63,0.84,44.1,0.8848,192.1,202.5,41.4,44.2,5.05,242.28,False,,False,True,False,False,True,0.51,True,True,189.49,198.36,5.82,25.9
CI,267.32,0.21,0.39,47.7,0.4226,268.04,272.43,32.9,55.1,7.1,342.75,False,,False,False,False,False,False,-0.07,True,True,265.37,277.97,5.46,25.5
HD,329.56,0.2,0.53,38.5,0.3644,337.75,351.43,36.0,33.1,8.62,421.19,False,,False,True,False,False,False,0.15,True,True,327.81,342.49,7.39,25.5
GE,292.68,3.14,0.69,44.1,-1.2674,298.33,307.3,34.0,48.8,10.68,347.97,False,,False,True,True,False,True,2.27,True,True,289.99,308.7,5.96,25.5
AVGO,313.49,1.29,0.73,46.8,-1.1817,316.64,325.27,22.2,56.7,12.49,412.95,False,,False,False,True,False,True,1.25,True,True,310.48,332.23,6.23,25.0
DE,570.7,1.31,0.91,47.2,-2.0235,575.82,567.89,22.6,43.0,16.65,672.22,False,,False,True,True,True,False,0.38,True,True,564.17,595.67,3.82,23.8
PANW,160.67,0.22,0.88,49.8,-0.3647,159.91,165.16,17.9,75.0,6.71,223.61,False,,False,False,False,False,True,0.7,True,True,157.3,170.73,2.99,22.5
LOW,235.98,-0.13,0.81,40.6,0.9987,240.53,250.15,38.3,26.3,6.29,293.06,False,,False,True,False,False,False,0.2,True,True,235.1,245.42,10.73,21.7
V,298.51,-1.23,0.74,38.2,0.0062,305.76,314.9,28.6,41.4,6.89,373.34,False,,False,True,False,False,False,0.93,True,True,293.89,308.85,2.24,21.7
BLK,957.4,-0.45,0.7,42.3,3.1293,973.8,1012.95,29.1,4.8,29.56,1207.31,False,,False,True,False,False,False,1.38,True,True,956.3,1001.74,40.31,21.7
ZTS,117.29,-0.78,0.38,45.1,0.2447,118.42,121.6,25.2,24.9,3.34,170.33,False,,False,True,False,False,False,-0.01,True,True,116.76,122.3,9.45,21.7
