Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
AMBUJACEM,445.3,0.25,5.87,2113970.0,47.6,0.4515,448.41,460.94,-0.69,18.3,31.9,13.86,624.95,False,,False,True,False,False,False,0.41,True,True,False,438.05,458.66,3.0,1.63,1.84,WEAK,22.5
HINDPETRO,373.85,-0.19,1.22,5998858.0,51.3,2.4959,371.02,382.41,0.76,16.2,18.0,12.81,508.45,False,,False,True,False,False,False,1.19,True,True,False,372.5,385.07,3.0,0.36,8.31,WEAK,22.5
PAYTM,1115.8,1.83,0.35,3607550.0,51.5,-3.9368,1113.53,1114.65,0.2,20.1,71.4,38.44,1381.8,False,,False,False,True,False,False,0.18,False,True,False,1097.8,1149.27,3.0,1.61,1.86,WEAK,21.2
DABUR,445.65,0.94,0.76,1371610.0,49.7,1.8157,444.72,456.12,0.21,21.6,33.5,11.14,573.97,False,,False,True,True,False,True,0.79,True,True,False,443.0,459.02,3.0,0.59,5.05,WEAK,21.1
PETRONET,276.7,-0.02,0.82,2149816.0,52.5,1.1662,274.2,276.36,0.91,10.5,14.5,7.6,326.4,False,,False,True,False,False,False,1.33,True,True,False,275.8,285.0,3.0,0.33,9.22,WEAK,21.1
DMART,4376.5,-4.57,3.9,348343.0,49.8,-27.7188,4439.3,4232.82,-1.41,27.5,10.9,122.45,4949.5,False,,False,True,False,True,False,-0.02,False,True,False,4351.0,4507.8,3.0,0.58,5.15,WEAK,21.1
KOTAKBANK,371.65,-3.04,5.23,14238650.0,44.9,1.0985,377.05,384.79,-1.43,16.6,45.4,9.58,453.2,False,,False,True,False,False,False,-1.15,True,True,False,364.22,382.8,3.0,2.0,1.5,WEAK,19.7
SHREECEM,24740.0,2.25,0.59,20713.0,50.5,-28.6376,24705.49,24921.12,0.14,18.4,73.6,663.59,32398.19,False,,False,False,True,False,False,0.41,True,True,False,24295.0,25482.2,3.0,1.8,1.67,WEAK,19.6
BHARTIARTL,1827.1,-3.16,1.44,7460689.0,45.0,4.3582,1849.52,1874.46,-1.21,26.4,7.3,39.63,2174.5,False,,False,True,False,False,False,-0.72,False,True,False,1821.7,1881.91,3.0,0.3,10.15,WEAK,16.9
PIDILITIND,1364.6,-0.81,1.18,550386.0,47.5,1.475,1374.22,1387.29,-0.7,15.1,12.5,31.01,1574.95,False,,False,True,False,False,False,0.18,True,True,False,1361.1,1405.54,3.0,0.26,11.7,WEAK,16.9
HDFCBANK,779.4,1.0,0.91,31783908.0,44.3,0.731,788.85,821.16,-1.2,25.3,48.6,18.03,1020.5,False,,False,True,True,False,False,0.12,True,True,False,772.6,802.78,3.0,0.87,3.44,WEAK,16.9
TITAN,4363.0,-0.51,0.96,738002.0,50.9,-19.2474,4378.78,4280.59,-0.36,13.2,10.9,96.71,4554.0,True,,False,True,False,True,False,0.5,False,True,False,4352.7,4493.89,3.0,0.24,12.71,WEAK,14.2
PFC,448.25,-0.03,1.1,7368064.0,52.7,-3.0044,449.57,427.75,-0.29,19.3,21.8,13.15,486.5,False,,False,True,False,True,False,0.88,True,True,False,446.05,461.7,3.0,0.49,6.11,WEAK,14.2
BAJAJFINSV,1770.4,1.33,1.58,1087113.0,47.0,-0.2594,1781.77,1824.2,-0.64,20.0,58.4,46.22,2195.0,False,,False,True,True,False,False,0.11,False,True,False,1747.1,1823.51,3.0,1.32,2.28,WEAK,13.9
SBIN,1068.4,-0.0,0.77,15205646.0,46.6,0.549,1080.06,1078.77,-1.08,19.8,18.8,26.45,1234.7,False,,False,True,False,True,False,-0.45,True,True,False,1063.6,1100.45,3.0,0.45,6.68,WEAK,13.1
BEL,433.55,0.52,0.93,11630620.0,46.3,-1.96,438.54,435.69,-1.14,12.1,49.5,10.67,473.45,False,,False,True,True,True,False,0.39,True,True,False,428.6,446.56,3.0,1.14,2.63,WEAK,12.8
AXISBANK,1275.1,0.54,1.38,7082182.0,43.7,-9.5422,1309.38,1300.53,-2.62,19.7,35.5,35.55,1418.3,False,,False,True,True,False,False,0.0,True,True,False,1264.5,1313.35,3.0,0.83,3.61,WEAK,11.1
BANKBARODA,265.1,0.62,0.78,7999332.0,40.5,-0.8105,271.96,278.42,-2.52,22.5,12.2,7.28,325.5,False,,False,True,True,False,True,0.57,True,True,False,264.2,273.05,3.0,0.34,8.83,WEAK,11.1
IOC,142.26,0.01,0.82,11067881.0,42.8,0.5798,144.58,149.62,-1.61,16.4,10.7,3.67,186.61,False,,False,True,False,False,False,0.88,True,True,False,142.0,146.53,3.0,0.18,16.42,WEAK,8.6
BPCL,301.7,0.42,0.9,10061948.0,45.3,0.6634,305.13,316.05,-1.12,17.5,27.6,9.04,391.65,False,,False,True,False,False,False,0.68,True,True,False,300.1,310.75,3.0,0.53,5.66,WEAK,8.6
HDFCLIFE,588.35,0.25,0.57,4532658.0,40.7,0.6285,601.85,632.02,-2.24,23.7,40.5,15.56,820.75,False,,False,True,False,False,False,0.86,False,True,False,583.0,606.0,3.0,0.91,3.3,WEAK,8.6
PNB,108.68,-0.62,1.18,14212509.0,41.9,-0.1425,111.35,113.85,-2.4,18.0,15.5,2.84,135.15,False,,False,True,False,False,False,0.13,True,True,False,108.13,111.94,3.0,0.51,5.93,WEAK,8.3
HEROMOTOCO,5066.5,-0.64,1.23,503130.0,44.2,-1.9323,5156.56,5282.52,-1.75,18.0,26.2,156.28,6266.36,False,,False,True,False,False,False,1.71,True,True,False,5006.0,5218.49,3.0,1.19,2.51,WEAK,8.3
RECLTD,353.5,-0.23,0.53,9426539.0,48.1,-1.7976,359.54,351.75,-1.68,18.2,21.5,11.77,406.72,False,,False,True,False,True,False,0.48,True,True,False,351.4,364.11,3.0,0.59,5.05,WEAK,7.2
HAVELLS,1256.6,1.29,0.36,2155205.0,46.2,-0.9495,1271.76,1299.24,-1.19,10.8,71.4,40.87,1616.16,False,,False,False,True,False,False,0.04,True,True,False,1238.1,1294.3,3.0,1.47,2.04,WEAK,6.5
HCLTECH,1200.5,0.12,0.41,8027615.0,30.4,-15.7542,1284.79,1353.59,-6.56,33.5,41.2,38.29,1746.66,False,,False,True,False,False,False,0.74,False,True,False,1191.4,1236.52,3.0,0.76,3.96,WEAK,5.6
TMPV,340.15,-0.85,0.65,9317793.0,48.0,-0.9369,344.15,344.53,-1.16,21.3,23.0,10.41,419.0,False,,False,True,False,False,False,-0.34,True,True,False,339.0,350.35,3.0,0.34,8.87,WEAK,5.6
ICICIBANK,1270.8,0.59,0.95,15426254.0,42.2,-8.0319,1301.55,1314.48,-2.36,19.5,36.3,27.33,1488.51,False,,False,True,True,False,False,0.07,True,True,False,1264.3,1308.92,3.0,0.51,5.86,WEAK,5.6
TMCV,412.9,0.73,1.07,6073056.0,43.2,-1.6125,423.93,429.74,-2.6,19.8,51.2,15.26,509.0,False,,False,True,True,False,False,1.24,True,True,False,407.5,425.29,3.0,1.31,2.29,WEAK,5.6
CANBK,134.8,0.11,0.67,16995097.0,42.8,-0.5338,138.01,140.05,-2.33,13.8,17.2,3.92,162.89,False,,False,True,False,False,False,0.51,True,True,False,134.18,138.84,3.0,0.46,6.52,WEAK,2.8
SBILIFE,1820.1,0.06,0.74,2616811.0,41.7,-6.8794,1862.21,1906.34,-2.26,21.5,28.7,49.95,2129.04,False,,False,True,False,False,False,-0.49,False,True,False,1810.1,1874.7,3.0,0.55,5.46,WEAK,2.8
TCS,2431.3,-1.72,0.75,3502553.0,42.0,-4.6127,2489.45,2571.95,-2.34,20.4,8.6,60.76,3509.22,False,,False,True,False,False,False,0.81,False,True,False,2425.0,2504.24,3.0,0.26,11.58,WEAK,2.8
INFY,1168.4,-1.13,0.53,14699882.0,34.1,-8.965,1231.9,1299.14,-5.15,24.0,10.7,33.91,1728.0,False,,False,True,False,False,False,1.12,False,True,False,1165.2,1203.45,3.0,0.27,10.95,WEAK,2.8
INDIANB,830.35,-2.52,1.07,3051550.0,33.0,-11.1788,895.17,898.81,-7.24,18.7,9.3,32.61,1000.9,False,,False,True,False,False,False,0.72,True,True,False,827.15,855.26,3.0,0.39,7.78,WEAK,2.8
M&M,3106.5,0.29,1.07,2682224.0,47.1,-0.2801,3130.37,3209.93,-0.76,12.8,27.6,86.94,3839.9,False,,False,True,False,False,False,1.1,True,True,False,3081.5,3199.7,3.0,0.8,3.73,WEAK,2.8
GODREJCP,1072.5,0.51,0.75,1334782.0,47.2,-1.5481,1082.15,1096.61,-0.89,17.6,19.5,29.71,1297.65,False,,False,True,False,False,False,0.29,True,True,False,1068.2,1104.67,3.0,0.4,7.48,WEAK,2.8
UNIONBANK,163.77,-1.31,0.61,23837220.0,35.0,-2.4765,176.25,177.89,-7.08,19.1,8.7,6.52,205.49,False,,False,True,False,False,False,0.64,True,True,False,163.32,168.68,3.0,0.27,10.91,WEAK,2.8
WIPRO,200.75,0.05,0.37,22797510.0,48.2,-0.2041,201.55,205.77,-0.4,18.5,20.8,4.35,266.23,False,,False,True,False,False,False,0.87,False,True,False,200.06,206.77,3.0,0.34,8.72,WEAK,0.0
NAUKRI,976.65,0.39,0.47,1537488.0,41.3,-4.8658,1007.92,1044.13,-3.1,18.2,38.1,32.13,1540.07,False,,False,True,False,False,False,0.34,False,True,False,967.65,1005.95,3.0,0.92,3.26,WEAK,0.0
ETERNAL,248.47,-1.36,0.49,58396874.0,49.9,-0.2802,249.4,251.3,-0.37,14.4,35.8,9.33,368.45,False,,False,True,False,False,False,-0.36,False,True,False,245.75,255.92,3.0,1.09,2.74,WEAK,0.0
SBICARD,644.8,0.14,0.67,1743400.0,37.8,-1.083,668.21,699.31,-3.5,18.4,57.4,20.61,1023.66,False,,False,False,False,False,False,0.47,False,True,False,638.05,664.14,3.0,1.05,2.87,WEAK,0.0
